age,workclass,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,class
39,0,0,13,0,0,0,0,0,7,0,40,0, <=50K
50,11,0,13,14,6,16,0,0,0,0,13,0, <=50K
38,22,6,9,28,12,0,0,0,0,0,40,0, <=50K
53,22,12,7,14,12,16,20,0,0,0,40,0, <=50K
28,22,0,13,14,18,32,20,50,0,0,40,2, <=50K
37,22,18,14,14,6,32,0,50,0,0,40,0, <=50K
49,22,24,5,42,24,0,20,50,0,0,16,4, <=50K
52,11,6,9,14,6,16,0,0,0,0,45,0, >50K
31,22,18,14,0,18,0,0,50,9,0,50,0, >50K
42,22,0,13,14,6,16,0,0,8,0,40,0, >50K
37,22,30,10,14,6,16,20,0,0,0,80,0, >50K
30,0,0,13,14,18,16,40,0,0,0,40,6, >50K
23,22,0,13,0,0,48,0,50,0,0,30,0, <=50K
32,22,36,12,0,30,0,20,0,0,0,50,0, <=50K
40,22,42,11,14,36,16,40,0,0,0,40,8, >50K
34,22,48,4,14,42,16,60,0,0,0,45,10, <=50K
25,11,6,9,0,48,48,0,0,0,0,35,0, <=50K
32,22,6,9,0,54,64,0,0,0,0,40,0, <=50K
38,22,12,7,14,30,16,0,0,0,0,50,0, <=50K
43,11,18,14,28,6,64,0,50,0,0,45,0, >50K
40,22,54,16,14,18,16,0,0,0,0,60,0, >50K
54,22,6,9,56,24,64,20,50,0,0,20,0, <=50K
35,33,24,5,14,48,16,20,0,0,0,40,0, <=50K
43,22,12,7,14,42,16,0,0,0,7,40,0, <=50K
59,22,6,9,28,60,64,0,50,0,0,40,0, <=50K
56,44,0,13,14,60,16,0,0,0,0,40,0, >50K
19,22,6,9,0,36,48,0,0,0,0,40,0, <=50K
54,55,30,10,14,66,16,40,0,0,0,60,12, >50K
39,22,6,9,28,6,0,0,0,0,0,80,0, <=50K
49,22,6,9,14,36,16,0,0,0,0,40,0, <=50K
23,44,36,12,0,72,0,0,0,0,0,52,0, <=50K
20,22,30,10,0,30,48,20,0,0,0,44,0, <=50K
45,22,0,13,28,6,48,0,0,0,7,40,0, <=50K
30,33,30,10,14,0,48,0,0,0,0,40,0, <=50K
22,0,30,10,14,24,16,20,0,0,0,15,0, <=50K
48,22,12,7,0,54,64,0,0,0,0,40,14, <=50K
21,22,30,10,0,54,48,0,0,0,0,40,0, <=50K
19,22,6,9,70,0,32,0,50,0,0,25,0, <=50K
31,22,30,10,14,30,16,0,0,0,0,38,8, >50K
48,11,36,12,14,18,16,0,0,0,0,40,0, <=50K
31,22,24,5,14,54,16,0,0,0,0,43,0, <=50K
53,11,0,13,14,18,16,0,0,0,0,40,0, <=50K
24,22,0,13,14,60,16,0,0,0,0,50,0, <=50K
49,22,6,9,56,0,64,0,50,0,0,40,0, <=50K
25,22,6,9,0,12,0,0,0,0,0,35,0, <=50K
57,33,0,13,14,18,16,20,0,0,0,40,0, >50K
53,22,6,9,14,54,16,0,0,0,0,38,0, <=50K
44,22,18,14,28,6,64,0,50,0,0,40,0, <=50K
41,0,42,11,14,36,16,0,0,0,0,40,0, <=50K
29,22,42,11,0,18,0,0,0,0,0,43,0, <=50K
25,22,30,10,14,6,32,80,50,0,0,40,0, <=50K
18,22,6,9,0,24,48,0,50,0,0,30,8, <=50K
47,22,60,15,14,18,32,0,50,0,7,60,16, >50K
50,33,0,13,28,6,0,0,0,0,0,55,0, >50K
47,66,6,9,28,6,0,0,0,0,0,60,0, <=50K
43,22,30,10,14,60,16,0,0,0,0,40,0, >50K
46,22,66,3,14,54,16,0,0,0,0,40,10, <=50K
35,22,42,11,14,24,16,0,0,0,0,40,14, <=50K
41,22,6,9,14,0,16,0,0,0,0,48,0, <=50K
30,22,6,9,14,54,16,0,0,8,0,40,0, <=50K
30,22,0,13,14,30,16,0,0,7,0,40,0, <=50K
32,55,48,4,42,66,0,0,0,0,0,40,8, <=50K
48,22,6,9,14,42,16,0,0,0,0,40,0, <=50K
42,22,54,16,14,18,16,0,0,0,0,45,0, >50K
29,22,30,10,28,60,0,0,0,0,0,58,0, <=50K
36,22,6,9,14,36,16,0,0,0,0,40,0, <=50K
28,22,30,10,28,0,0,0,50,0,0,40,0, <=50K
53,22,6,9,14,0,32,0,50,0,0,40,0, >50K
49,66,30,10,14,6,16,0,0,0,0,50,0, >50K
25,55,30,10,0,66,48,0,0,0,0,40,0, <=50K
19,22,30,10,0,18,48,0,0,0,0,32,0, <=50K
31,22,0,13,56,30,48,20,50,0,0,40,0, <=50K
29,11,0,13,14,30,16,0,0,0,0,70,0, >50K
23,22,30,10,0,54,0,0,0,0,0,40,0, <=50K
79,22,30,10,14,18,80,0,0,0,0,20,0, <=50K
27,22,6,9,0,24,48,0,0,0,0,40,10, <=50K
40,22,36,12,14,0,16,0,0,0,0,40,0, <=50K
67,55,72,6,14,66,16,0,0,0,0,2,0, <=50K
18,22,12,7,0,24,48,0,50,0,0,22,0, <=50K
31,44,48,4,14,48,16,0,0,0,0,40,0, <=50K
18,22,6,9,0,30,0,0,0,0,0,30,0, <=50K
52,22,0,13,14,24,16,0,0,0,0,40,2, <=50K
46,22,6,9,14,24,32,0,50,0,0,40,0, <=50K
59,22,6,9,14,30,16,0,0,0,0,48,0, <=50K
44,22,6,9,28,36,0,0,50,9,0,40,0, >50K
53,22,6,9,28,30,48,0,50,0,0,35,0, <=50K
49,44,6,9,14,72,16,0,0,0,0,40,0, >50K
33,22,18,14,14,18,16,0,0,0,0,50,0, <=50K
30,22,24,5,0,30,0,0,0,0,0,40,0, <=50K
43,33,54,16,0,18,0,0,50,0,0,50,0, >50K
57,22,42,11,14,18,16,0,0,0,0,40,0, <=50K
37,22,30,10,28,36,64,0,50,0,0,40,0, <=50K
28,22,30,10,28,54,64,20,50,0,0,25,0, <=50K
30,22,6,9,14,30,32,40,50,0,7,35,8, <=50K
34,44,0,13,14,72,16,0,0,0,0,40,0, >50K
29,44,30,10,0,12,0,0,0,0,0,50,0, <=50K
48,11,54,16,14,18,16,0,0,0,7,60,0, >50K
37,22,30,10,14,30,16,0,0,0,0,48,0, >50K
48,22,36,12,28,6,64,0,50,0,0,40,18, <=50K
32,33,6,9,0,24,48,20,0,0,0,40,0, <=50K
76,22,18,14,14,6,16,0,0,0,0,40,0, >50K
44,22,0,13,14,6,16,0,0,9,0,60,0, >50K
47,11,18,14,0,18,0,0,50,0,0,50,0, <=50K
20,22,30,10,0,60,48,0,50,0,0,40,0, <=50K
29,22,6,9,0,36,0,0,0,0,0,40,0, <=50K
32,66,6,9,14,36,16,0,0,8,0,40,0, >50K
17,55,72,6,0,66,48,0,50,10,0,32,0, <=50K
30,22,12,7,0,12,48,0,0,0,0,40,0, <=50K
31,44,6,9,0,0,0,0,50,0,0,40,0, <=50K
42,22,6,9,14,12,16,0,0,0,0,40,0, <=50K
24,22,0,13,0,30,80,0,0,0,0,40,0, <=50K
38,22,60,15,14,18,16,0,0,0,0,40,0, >50K
56,11,6,9,14,24,16,0,0,0,7,50,20, >50K
28,22,30,10,14,30,32,0,50,8,0,25,0, <=50K
36,22,6,9,0,54,48,0,50,0,0,40,0, <=50K
53,22,24,5,14,12,16,0,0,0,0,50,0, <=50K
56,66,30,10,14,30,16,0,0,0,0,50,0, <=50K
49,44,42,11,14,36,16,20,0,0,0,40,0, >50K
55,22,30,10,14,30,16,0,0,0,0,56,0, <=50K
22,22,6,9,0,36,0,0,0,0,0,41,0, <=50K
21,22,30,10,0,24,48,0,50,0,0,40,0, <=50K
40,22,0,13,14,6,16,0,0,0,0,60,0, <=50K
30,22,0,13,0,6,48,20,0,0,0,40,22, <=50K
29,0,0,13,14,18,16,0,0,0,0,50,0, >50K
19,22,30,10,0,24,48,20,0,0,0,35,0, <=50K
47,22,0,13,14,6,32,0,50,0,0,40,0, >50K
20,22,30,10,0,0,48,0,50,0,7,28,0, <=50K
31,22,36,12,14,0,16,0,0,0,0,40,0, >50K
35,55,6,9,14,66,16,0,0,0,0,40,0, <=50K
39,22,30,10,28,36,0,0,0,0,0,40,0, <=50K
28,22,36,12,0,30,0,0,50,0,0,60,0, <=50K
24,22,6,9,0,24,0,0,50,0,7,40,0, <=50K
38,11,6,9,14,36,16,0,0,8,0,35,0, <=50K
37,22,0,13,14,30,16,0,0,0,0,50,0, <=50K
46,22,36,12,28,60,0,20,50,0,0,36,0, <=50K
38,33,18,14,14,18,16,0,0,0,0,40,24, >50K
43,11,6,9,14,36,16,0,0,0,0,60,0, <=50K
27,22,42,11,14,0,32,0,50,0,0,35,0, <=50K
20,22,30,10,0,30,48,0,0,0,0,20,0, <=50K
49,22,30,10,14,36,16,40,0,0,0,40,0, >50K
61,66,6,9,14,36,16,0,0,0,0,40,0, <=50K
27,22,30,10,0,30,48,0,50,0,0,40,0, <=50K
19,22,30,10,0,24,48,0,0,0,0,30,10, <=50K
45,22,42,11,0,18,0,0,50,0,7,40,0, >50K
70,22,30,10,0,60,80,0,0,0,0,40,0, <=50K
31,22,6,9,0,42,64,20,50,0,0,30,0, <=50K
22,22,30,10,14,24,16,0,0,0,0,24,0, <=50K
36,22,6,9,84,24,64,0,50,0,0,24,0, <=50K
64,22,12,7,14,36,16,0,0,0,7,40,0, <=50K
43,55,30,10,28,66,0,0,50,0,0,40,0, <=50K
47,44,30,10,28,0,64,0,50,0,0,38,10, <=50K
34,22,6,9,0,0,0,0,50,0,0,40,0, <=50K
33,22,0,13,0,6,80,40,50,0,0,40,26, <=50K
21,22,6,9,0,36,48,0,0,0,0,35,0, <=50K
52,55,6,9,28,66,0,0,0,0,0,45,0, >50K
48,22,6,9,14,36,16,0,0,0,0,46,0, <=50K
23,22,0,13,0,12,0,0,0,0,0,40,0, <=50K
71,11,30,10,56,30,64,20,0,0,7,2,0, <=50K
29,22,6,9,28,36,0,0,0,0,0,60,0, <=50K
42,22,0,13,56,24,80,20,0,0,0,50,0, <=50K
68,55,78,2,28,66,0,0,50,0,0,20,0, <=50K
25,22,6,9,0,24,64,0,50,0,0,40,0, <=50K
44,66,18,14,28,6,64,40,50,0,0,40,0, <=50K
28,22,6,9,0,6,0,40,50,0,0,40,18, <=50K
45,11,18,14,14,30,16,0,0,0,0,40,0, >50K
36,22,30,10,28,24,64,0,50,0,0,40,10, <=50K
39,33,36,12,0,6,0,0,0,0,0,42,0, <=50K
46,0,18,14,84,72,64,0,0,0,0,40,0, <=50K
18,22,12,7,0,12,48,0,0,0,0,16,0, <=50K
66,44,42,11,84,18,0,0,50,0,0,20,0, <=50K
27,22,6,9,0,24,0,0,0,0,7,40,0, <=50K
28,0,6,9,14,72,16,0,0,0,0,40,0, <=50K
51,22,30,10,14,30,16,0,0,0,7,40,0, >50K
27,22,0,13,0,36,0,0,0,0,0,50,0, <=50K
28,0,0,13,14,18,16,0,0,0,0,40,0, >50K
27,22,6,9,42,30,64,0,50,0,0,25,0, <=50K
21,22,6,9,0,36,48,20,0,0,0,40,0, <=50K
34,22,6,9,0,12,0,20,0,0,0,40,0, <=50K
18,22,6,9,0,24,48,0,0,0,0,12,0, <=50K
33,22,0,13,14,18,16,0,0,0,0,65,0, <=50K
44,44,30,10,14,6,16,20,0,0,0,38,0, >50K
43,22,30,10,28,0,0,0,50,0,0,40,0, <=50K
30,22,30,10,0,36,0,20,0,0,0,45,0, <=50K
40,22,48,4,14,54,16,0,0,0,0,40,10, >50K
37,33,30,10,14,0,16,0,0,0,0,42,0, >50K
34,22,6,9,14,0,16,20,0,0,0,40,0, <=50K
41,11,0,13,28,6,0,0,50,0,0,40,0, <=50K
53,55,0,13,28,66,0,0,50,0,0,50,0, <=50K
31,22,18,14,14,18,32,0,50,0,0,50,0, <=50K
58,0,54,16,14,18,16,0,0,0,0,1,0, >50K
38,22,30,10,28,54,0,20,50,0,0,28,0, <=50K
24,22,30,10,14,54,16,0,0,0,0,40,0, <=50K
41,44,0,13,14,36,16,20,0,0,0,40,0, <=50K
47,22,30,10,14,60,16,0,0,0,0,45,0, <=50K
41,33,0,13,14,60,16,0,0,0,0,24,0, <=50K
23,22,66,3,14,42,80,0,0,0,0,40,10, <=50K
36,22,30,10,28,36,0,0,0,0,0,40,0, <=50K
40,33,18,14,0,6,0,0,50,9,0,55,0, >50K
35,22,18,14,14,18,80,0,0,8,0,40,0, >50K
24,11,6,9,0,30,0,0,0,0,0,40,0, <=50K
26,22,18,14,0,18,0,0,50,0,7,40,0, <=50K
19,55,6,9,0,66,48,0,0,0,0,40,28, <=50K
51,22,0,13,14,6,16,0,0,0,0,50,0, >50K
42,44,30,10,0,18,0,0,50,0,7,40,0, <=50K
37,0,6,9,28,0,64,0,50,0,0,35,0, <=50K
18,22,12,7,0,30,48,0,50,0,0,40,0, <=50K
36,22,0,13,14,24,16,20,0,8,0,36,0, >50K
35,22,6,9,28,36,0,0,0,0,0,60,0, <=50K
58,66,6,9,14,30,32,0,50,9,0,35,0, >50K
17,22,12,7,0,30,48,0,50,0,0,12,0, <=50K
44,44,6,9,14,42,16,20,0,0,0,40,0, <=50K
37,22,6,9,14,36,16,0,0,0,0,40,0, >50K
35,22,30,10,0,30,0,60,50,0,0,40,0, <=50K
60,22,6,9,14,36,16,40,0,0,0,40,0, <=50K
54,66,48,4,14,54,16,0,0,0,0,40,0, >50K
37,22,0,13,0,6,0,20,0,0,0,60,0, >50K
50,22,36,12,28,30,0,0,50,0,0,40,0, <=50K
38,22,0,13,14,30,16,0,0,0,0,50,30, <=50K
45,22,0,13,14,18,16,0,0,0,0,55,0, <=50K
25,22,72,6,0,36,0,0,0,0,0,40,0, <=50K
31,22,30,10,14,12,16,0,0,0,0,40,0, <=50K
64,55,78,2,28,66,0,0,0,0,0,40,0, <=50K
90,22,6,9,0,24,0,20,0,0,7,40,0, <=50K
54,22,6,9,14,0,16,20,0,0,0,20,0, <=50K
53,44,84,1,0,54,0,0,50,0,0,35,0, <=50K
18,22,6,9,0,30,48,0,50,0,0,40,0, <=50K
60,55,72,6,28,66,0,60,50,0,0,10,0, <=50K
66,11,6,9,14,48,16,0,0,7,0,50,0, <=50K
75,22,42,11,84,0,0,0,50,0,0,20,32, <=50K
65,22,6,9,28,0,0,0,50,0,0,40,0, <=50K
35,22,12,7,56,42,0,20,0,8,0,40,0, <=50K
41,22,6,9,28,30,64,20,50,0,0,38,0, <=50K
25,22,30,10,0,0,0,0,0,0,0,42,0, <=50K
33,22,30,10,28,36,80,80,50,0,0,40,0, <=50K
28,22,60,15,0,18,0,0,0,0,0,55,0, >50K
59,0,6,9,14,24,16,0,0,0,0,40,0, <=50K
40,0,30,10,0,0,0,0,50,0,0,38,0, <=50K
41,22,0,13,14,6,16,0,0,0,0,50,24, >50K
38,44,18,14,14,6,16,0,0,0,0,70,0, >50K
23,22,6,9,0,42,48,0,0,0,0,40,0, <=50K
40,22,0,13,14,18,16,0,0,0,0,40,0, >50K
41,11,6,9,14,24,32,0,50,0,0,20,0, <=50K
24,0,36,12,14,72,16,0,0,0,0,50,0, <=50K
20,55,30,10,0,66,48,0,0,0,0,20,0, <=50K
38,22,30,10,28,36,0,0,0,0,7,40,0, <=50K
56,22,6,9,14,0,16,0,0,0,0,35,8, <=50K
58,22,6,9,14,0,16,0,0,0,0,45,0, >50K
32,22,6,9,0,24,0,0,50,0,0,34,0, <=50K
40,22,36,12,14,60,16,0,0,0,7,60,0, >50K
45,22,6,9,14,0,16,0,0,0,0,40,8, <=50K
41,22,60,15,14,18,32,0,50,0,0,40,0, >50K
42,22,0,13,14,0,32,20,50,0,0,40,0, <=50K
59,44,72,6,84,24,64,20,50,0,0,30,0, <=50K
19,44,30,10,0,0,48,0,0,0,0,40,0, <=50K
58,22,30,10,0,42,0,0,0,0,0,20,0, <=50K
42,11,6,9,14,48,16,40,0,0,0,40,34, >50K
20,22,6,9,0,24,48,0,50,0,0,40,0, <=50K
32,22,6,9,56,24,0,0,50,0,0,30,0, <=50K
45,22,42,11,84,6,0,0,50,0,0,45,0, <=50K
50,22,48,4,28,36,0,0,0,0,0,40,0, <=50K
36,22,0,13,28,18,48,0,50,0,0,40,0, <=50K
45,22,6,9,14,30,16,0,0,0,0,60,0, <=50K
17,22,12,7,0,24,48,0,0,0,0,12,0, <=50K
59,22,30,10,14,30,16,0,0,8,0,40,0, <=50K
26,22,12,7,14,36,16,0,0,0,0,40,0, <=50K
37,66,30,10,14,6,16,40,0,0,0,75,36, >50K
19,55,30,10,0,66,48,0,0,0,0,24,20, <=50K
64,22,6,9,14,6,16,0,0,0,0,40,0, >50K
33,22,0,13,0,18,0,0,50,0,0,45,0, <=50K
33,22,6,9,14,36,32,0,50,0,0,40,0, >50K
61,22,6,9,14,6,16,0,0,0,0,40,0, >50K
17,22,24,5,0,24,48,0,0,6,0,24,0, <=50K
50,11,18,14,14,48,16,0,0,7,0,98,0, <=50K
27,44,18,14,0,18,48,0,0,0,0,35,0, <=50K
30,22,6,9,28,18,48,0,50,0,0,40,0, <=50K
43,22,6,9,14,12,16,20,0,0,0,40,0, <=50K
44,22,30,10,14,36,16,0,0,8,0,40,0, >50K
35,22,30,10,0,6,0,0,50,0,0,40,0, <=50K
25,22,30,10,0,60,48,0,50,0,0,40,0, <=50K
24,22,30,10,14,54,32,0,50,8,0,48,0, >50K
22,22,0,13,0,18,0,0,50,0,0,15,22, <=50K
42,44,30,10,14,36,16,0,0,8,0,40,0, >50K
34,22,36,12,28,30,64,20,50,0,0,45,0, <=50K
60,22,0,13,28,18,0,0,50,0,0,42,0, <=50K
21,22,6,9,0,12,48,0,0,0,0,40,0, <=50K
57,33,18,14,14,30,16,0,0,9,0,40,0, >50K
41,22,60,15,14,18,16,0,0,0,0,60,0, >50K
50,22,30,10,28,24,0,0,0,0,0,45,0, <=50K
25,22,0,13,0,6,0,0,50,0,0,40,0, <=50K
50,22,48,4,14,36,16,0,0,0,0,40,38, <=50K
36,22,0,13,14,18,16,0,0,0,0,45,0, <=50K
31,22,6,9,28,18,0,0,50,0,0,40,0, <=50K
29,44,0,13,0,72,0,0,0,0,0,56,0, <=50K
21,22,30,10,0,30,48,0,0,0,0,45,0, <=50K
27,22,0,13,0,60,64,20,50,0,0,40,0, <=50K
65,22,6,9,14,42,16,0,0,0,0,16,0, <=50K
37,66,0,13,28,30,0,0,50,0,0,60,0, <=50K
39,55,18,14,14,66,32,40,50,8,0,40,8, <=50K
24,22,6,9,0,36,48,0,0,0,0,40,0, <=50K
38,22,6,9,28,30,0,0,0,0,0,80,0, <=50K
48,22,0,13,14,0,16,0,0,8,0,40,0, >50K
21,22,30,10,0,24,0,40,50,0,0,25,0, <=50K
31,22,6,9,14,42,16,0,0,0,0,45,0, >50K
55,22,6,9,14,30,16,0,0,8,0,40,0, >50K
24,22,30,10,14,0,32,40,50,0,0,40,40, <=50K
43,22,6,9,28,0,0,0,50,0,0,40,0, <=50K
26,22,36,12,0,60,0,0,0,0,0,45,0, <=50K
46,22,36,12,0,18,0,0,50,0,0,33,0, <=50K
35,22,36,12,14,0,16,0,0,0,0,40,0, >50K
41,66,30,10,14,48,16,0,0,0,0,54,0, >50K
26,22,0,13,0,30,0,0,0,0,0,40,0, <=50K
34,22,18,14,14,6,16,40,0,8,0,35,42, >50K
19,55,30,10,0,66,48,20,50,0,0,25,0, <=50K
36,11,0,13,28,18,0,20,50,0,0,40,0, >50K
22,22,30,10,0,30,48,0,0,0,0,15,0, <=50K
24,22,30,10,0,54,0,0,0,0,0,40,0, <=50K
77,11,30,10,14,30,16,0,0,0,0,40,0, <=50K
22,22,66,3,14,54,80,0,50,0,0,40,10, <=50K
29,22,30,10,0,60,0,0,50,0,0,40,0, <=50K
62,22,6,9,84,24,0,0,50,0,0,24,0, <=50K
39,11,6,9,14,6,16,0,0,0,0,40,0, <=50K
43,22,30,10,14,36,16,0,0,0,7,50,0, <=50K
35,22,6,9,28,42,0,0,0,0,0,45,0, <=50K
29,22,12,7,0,6,0,0,50,0,0,40,0, <=50K
76,11,18,14,14,36,16,0,0,0,0,10,0, <=50K
63,11,6,9,14,48,16,0,0,0,0,45,0, <=50K
23,55,42,11,0,66,48,20,50,0,0,15,0, <=50K
43,22,30,10,14,18,32,0,50,0,7,50,0, >50K
58,11,6,9,14,12,16,0,0,0,0,40,0, <=50K
