Wife-age,Wife-education,Husband-education,Number-children-born,Wife-religion,Wife-working?,Husband-occupation,Standard-of-living-index,Media-exposure,Contraceptive-method-used
24,mid-low,mid-high,3,islam,no,B,mid-high,good,no-use
45,low,mid-high,10,islam,no,C,high,good,no-use
43,mid-low,mid-high,7,islam,no,C,high,good,no-use
42,mid-high,mid-low,9,islam,no,C,mid-high,good,no-use
36,mid-high,mid-high,8,islam,no,C,mid-low,good,no-use
19,high,high,0,islam,no,C,mid-high,good,no-use
38,mid-low,mid-high,6,islam,no,C,mid-low,good,no-use
21,mid-high,mid-high,1,islam,yes,C,mid-low,good,no-use
27,mid-low,mid-high,3,islam,no,C,high,good,no-use
45,low,low,8,islam,no,B,mid-low,bad,no-use
38,low,mid-high,2,islam,yes,C,mid-high,bad,no-use
42,low,high,4,islam,no,A,mid-high,good,no-use
44,high,high,1,islam,yes,A,high,good,no-use
42,mid-low,high,1,islam,yes,C,mid-high,good,no-use
38,mid-high,high,2,islam,no,B,mid-high,good,no-use
26,mid-low,high,0,islam,no,D,low,good,no-use
48,low,low,7,islam,no,B,high,good,no-use
39,mid-low,mid-low,6,islam,no,B,high,good,no-use
37,mid-low,mid-low,8,islam,no,B,mid-high,good,no-use
39,mid-low,low,5,islam,no,B,low,bad,no-use
26,mid-high,high,1,islam,yes,D,low,good,no-use
24,mid-high,high,0,islam,yes,C,low,good,no-use
46,high,high,1,non-islam,no,A,high,good,no-use
39,high,high,1,islam,no,A,high,good,no-use
48,high,high,5,islam,no,A,high,good,no-use
40,mid-low,high,8,islam,no,C,mid-high,good,no-use
38,high,high,1,islam,yes,A,high,good,no-use
29,high,high,0,islam,yes,A,high,good,no-use
24,high,high,0,islam,yes,B,mid-low,good,no-use
43,low,mid-low,8,islam,no,B,high,good,no-use
31,mid-high,high,2,islam,no,A,high,good,no-use
31,high,high,2,islam,no,C,mid-low,good,no-use
26,mid-low,high,0,islam,yes,A,mid-low,good,no-use
33,mid-low,mid-low,2,islam,no,C,low,good,no-use
24,mid-low,mid-high,1,islam,no,C,mid-high,good,no-use
42,low,mid-high,9,islam,no,C,mid-low,bad,no-use
43,low,mid-low,8,islam,yes,C,low,good,no-use
25,mid-high,mid-high,4,islam,no,C,mid-low,good,no-use
42,mid-low,mid-low,3,islam,no,C,high,good,no-use
28,mid-low,mid-low,1,islam,no,B,high,good,no-use
28,low,low,3,islam,no,C,low,good,no-use
47,mid-low,mid-high,0,islam,yes,A,mid-high,good,no-use
48,mid-low,high,2,islam,no,A,mid-high,good,no-use
40,high,high,2,non-islam,no,A,high,good,no-use
28,mid-low,mid-low,1,islam,no,C,mid-low,good,no-use
25,low,high,1,islam,no,B,low,good,no-use
32,high,high,2,islam,no,B,mid-high,good,no-use
45,high,high,0,islam,no,B,high,good,no-use
26,high,high,1,islam,no,A,high,good,no-use
26,high,high,0,islam,yes,A,high,good,no-use
31,high,high,0,islam,yes,A,high,good,no-use
49,high,high,7,non-islam,no,B,high,good,no-use
40,mid-high,high,8,islam,no,C,mid-high,good,no-use
34,high,high,1,non-islam,yes,B,mid-high,good,no-use
36,mid-low,high,5,islam,no,B,mid-high,good,no-use
20,mid-low,mid-low,2,islam,no,B,mid-low,bad,no-use
43,high,high,5,islam,yes,A,high,good,no-use
37,mid-high,high,7,islam,no,B,low,good,no-use
21,mid-low,mid-high,0,islam,no,C,high,good,no-use
49,high,high,6,islam,no,A,mid-low,good,no-use
42,mid-high,mid-high,10,islam,no,C,mid-high,good,no-use
20,mid-low,mid-high,1,islam,no,B,mid-high,good,no-use
47,low,mid-low,2,islam,yes,A,mid-high,good,no-use
22,mid-low,mid-high,1,islam,no,B,low,good,no-use
27,mid-low,high,1,islam,yes,A,mid-high,good,no-use
24,mid-low,high,1,islam,no,C,low,good,no-use
44,high,mid-low,8,islam,no,C,mid-high,good,no-use
30,mid-low,mid-high,3,islam,no,C,low,good,no-use
23,mid-high,high,2,islam,no,C,high,good,no-use
25,high,high,1,islam,yes,C,mid-high,good,no-use
47,mid-low,mid-high,4,islam,no,B,mid-high,good,no-use
48,mid-low,mid-high,8,islam,no,A,high,good,no-use
29,mid-low,mid-high,1,islam,no,A,low,good,no-use
29,mid-low,mid-high,1,islam,no,A,mid-low,good,no-use
21,mid-high,high,0,islam,no,B,mid-high,good,no-use
21,mid-high,high,1,islam,no,B,mid-high,good,no-use
29,high,high,0,islam,yes,B,high,good,no-use
45,mid-high,high,3,islam,no,A,high,good,no-use
33,mid-low,mid-high,2,islam,no,C,mid-low,good,no-use
38,high,high,1,islam,yes,A,high,good,no-use
24,high,high,0,non-islam,no,A,high,good,no-use
49,high,high,6,non-islam,yes,A,high,good,no-use
24,mid-low,high,1,islam,yes,D,high,good,no-use
28,high,high,0,non-islam,yes,A,high,good,no-use
30,high,high,2,islam,no,A,high,good,no-use
33,high,high,2,islam,no,A,high,good,no-use
25,high,high,1,islam,no,A,mid-high,good,no-use
35,high,high,3,non-islam,no,A,high,good,no-use
27,mid-low,high,4,islam,no,A,high,good,no-use
24,mid-low,mid-low,3,islam,yes,B,low,good,no-use
25,mid-low,mid-high,0,islam,no,B,low,good,no-use
46,mid-low,high,6,islam,no,A,high,good,no-use
26,mid-low,mid-low,3,islam,no,B,low,good,no-use
38,mid-low,mid-low,1,islam,yes,C,mid-low,good,no-use
47,low,mid-low,3,islam,no,A,mid-high,good,no-use
41,low,mid-high,10,islam,no,B,mid-high,bad,no-use
41,mid-low,mid-high,1,islam,yes,B,mid-high,good,no-use
28,high,high,5,islam,no,B,low,good,no-use
17,mid-low,mid-low,3,islam,no,C,low,good,no-use
27,mid-low,mid-high,5,islam,no,B,low,good,no-use
27,low,mid-low,4,islam,no,C,low,bad,no-use
19,mid-low,mid-high,0,islam,yes,B,mid-low,good,no-use
27,mid-low,high,3,islam,yes,C,mid-low,good,no-use
26,high,mid-high,4,islam,no,B,mid-high,good,no-use
23,mid-low,high,2,islam,no,C,mid-high,good,no-use
40,mid-high,mid-high,3,islam,no,C,mid-low,good,no-use
22,high,high,0,islam,no,A,low,good,no-use
44,mid-high,high,4,islam,yes,A,mid-high,good,no-use
29,mid-low,mid-high,2,islam,no,C,low,good,no-use
26,mid-low,mid-high,3,islam,no,C,low,good,no-use
45,high,high,1,islam,yes,C,mid-high,good,no-use
32,mid-high,mid-high,7,islam,yes,B,mid-high,good,no-use
21,high,high,1,islam,no,A,high,good,no-use
31,mid-low,mid-low,4,islam,no,C,mid-high,good,no-use
21,mid-high,high,0,islam,no,A,mid-high,good,no-use
37,high,high,1,islam,no,A,high,good,no-use
34,high,high,3,non-islam,yes,C,mid-high,good,no-use
44,mid-high,high,1,islam,no,A,mid-high,good,no-use
49,high,mid-high,5,islam,no,B,mid-high,good,no-use
26,mid-low,mid-high,2,islam,no,C,mid-high,good,no-use
38,low,mid-low,1,islam,no,B,high,bad,no-use
36,mid-low,mid-high,5,islam,no,B,mid-high,good,no-use
26,mid-high,high,2,islam,no,C,mid-high,good,no-use
20,mid-low,mid-high,1,non-islam,no,C,mid-low,good,no-use
44,mid-low,low,3,islam,yes,C,mid-low,good,no-use
31,mid-high,high,2,islam,no,A,mid-low,bad,no-use
45,high,high,1,islam,no,A,mid-high,good,no-use
36,mid-low,mid-high,2,islam,no,C,mid-low,bad,no-use
43,low,mid-high,2,islam,yes,B,mid-low,bad,no-use
25,mid-high,high,0,islam,no,A,mid-high,good,no-use
48,mid-high,high,3,islam,no,C,low,good,no-use
30,high,high,0,non-islam,yes,A,mid-high,good,no-use
48,low,mid-low,8,islam,no,C,low,good,no-use
28,mid-high,high,1,islam,no,C,low,bad,no-use
26,high,high,1,islam,no,A,mid-high,good,no-use
26,mid-high,mid-high,3,islam,yes,B,high,good,no-use
24,high,high,2,islam,no,C,mid-high,good,no-use
21,mid-high,mid-high,2,islam,no,B,mid-low,good,no-use
30,high,high,2,non-islam,no,C,low,good,no-use
20,high,high,1,islam,no,A,high,good,no-use
33,high,high,2,islam,no,A,mid-high,good,no-use
30,high,high,0,non-islam,yes,C,mid-high,good,no-use
47,high,high,1,islam,yes,A,mid-high,good,no-use
35,high,high,2,non-islam,no,C,mid-high,good,no-use
30,mid-low,high,2,islam,no,C,high,good,no-use
33,high,high,3,islam,no,A,high,good,no-use
45,high,high,4,islam,no,B,mid-high,good,no-use
41,high,high,2,islam,no,A,high,good,no-use
32,high,high,1,islam,yes,A,mid-high,good,no-use
43,high,high,5,islam,no,A,high,good,no-use
44,high,high,3,islam,no,B,high,good,no-use
21,low,mid-high,4,islam,no,C,mid-low,good,no-use
44,mid-high,high,2,islam,no,A,high,bad,no-use
23,high,high,2,islam,no,B,high,good,no-use
47,low,mid-low,4,islam,no,B,mid-low,good,no-use
47,low,low,7,islam,no,B,mid-high,bad,no-use
35,high,high,2,islam,yes,B,high,good,no-use
32,mid-low,high,4,islam,no,C,mid-low,good,no-use
45,low,high,5,islam,no,A,mid-low,bad,no-use
22,mid-low,mid-low,2,islam,no,C,low,good,no-use
23,low,low,3,islam,no,B,low,bad,no-use
30,high,high,0,islam,yes,A,high,good,no-use
44,low,mid-high,0,islam,no,B,mid-high,good,no-use
40,mid-high,mid-high,1,islam,yes,C,mid-high,good,no-use
34,high,high,4,islam,no,B,mid-high,good,no-use
37,mid-high,high,1,islam,no,B,high,good,no-use
49,mid-high,high,5,islam,no,A,high,good,no-use
26,high,high,1,islam,no,A,high,good,no-use
22,high,high,0,islam,no,B,high,good,no-use
20,mid-high,high,0,islam,yes,B,high,good,no-use
47,high,high,4,islam,no,A,high,good,no-use
49,mid-low,mid-low,8,islam,yes,C,low,good,no-use
22,mid-low,high,1,islam,no,B,high,good,no-use
22,mid-high,mid-high,2,islam,no,C,high,good,no-use
25,mid-high,mid-low,2,islam,no,C,mid-low,good,no-use
32,mid-low,high,0,islam,yes,C,high,good,no-use
28,high,high,0,non-islam,no,A,mid-high,good,no-use
30,mid-low,high,4,islam,yes,A,high,good,no-use
45,mid-low,high,2,islam,yes,B,high,good,no-use
49,mid-low,low,10,islam,yes,B,high,good,no-use
34,high,high,2,islam,yes,A,high,good,no-use
25,mid-low,high,1,islam,no,B,mid-low,good,no-use
42,low,mid-high,12,islam,no,C,mid-high,good,no-use
48,mid-low,low,3,islam,yes,D,mid-high,good,no-use
35,mid-high,high,5,islam,yes,B,mid-low,good,no-use
33,mid-low,mid-high,1,islam,no,C,high,good,no-use
20,mid-low,high,0,islam,no,C,mid-low,good,no-use
36,mid-low,mid-high,4,islam,no,C,low,bad,no-use
19,mid-high,mid-high,2,islam,no,C,mid-low,good,no-use
27,mid-high,mid-low,3,islam,no,C,mid-low,good,no-use
30,low,mid-low,4,islam,no,D,low,good,no-use
31,mid-high,high,3,islam,yes,C,mid-low,good,no-use
44,low,low,11,islam,no,D,low,bad,no-use
24,mid-high,mid-high,2,islam,no,C,mid-high,good,no-use
18,mid-high,high,0,islam,yes,C,low,good,no-use
45,low,mid-low,6,islam,no,C,mid-high,bad,no-use
25,mid-low,mid-low,3,islam,yes,C,low,good,no-use
36,mid-high,high,6,islam,no,B,high,good,no-use
30,low,low,5,islam,no,B,mid-low,good,no-use
32,mid-low,high,2,islam,no,C,mid-high,good,no-use
42,low,high,11,non-islam,no,B,mid-low,bad,no-use
22,mid-low,high,0,islam,no,C,mid-high,good,no-use
36,mid-low,high,2,islam,yes,B,high,good,no-use
27,mid-low,mid-high,2,islam,no,C,mid-high,good,no-use
40,mid-high,high,1,islam,no,A,mid-low,good,no-use
22,mid-low,mid-high,2,islam,no,C,low,good,no-use
26,mid-low,high,0,islam,no,C,low,good,no-use
31,mid-high,high,0,islam,yes,B,mid-high,good,no-use
32,high,high,1,islam,no,A,high,good,no-use
34,mid-low,mid-high,3,islam,yes,C,mid-low,good,no-use
40,mid-high,mid-high,1,non-islam,no,C,high,good,no-use
45,low,mid-low,1,islam,yes,C,mid-high,good,no-use
26,mid-high,high,3,islam,no,C,mid-low,good,no-use
48,low,mid-high,5,islam,no,C,mid-low,good,no-use
43,low,mid-high,8,islam,no,C,low,good,no-use
27,mid-high,high,2,islam,yes,B,mid-low,good,no-use
42,mid-high,mid-low,1,islam,no,C,mid-high,good,no-use
34,mid-high,mid-low,8,islam,yes,B,mid-high,bad,no-use
32,mid-high,mid-low,4,islam,no,B,mid-low,bad,no-use
31,mid-high,mid-high,2,islam,yes,B,mid-high,good,no-use
22,mid-low,mid-high,1,islam,no,C,mid-high,good,no-use
27,mid-high,high,0,islam,no,C,mid-high,good,no-use
37,low,mid-low,2,islam,no,B,mid-low,bad,no-use
22,low,mid-low,0,islam,no,B,high,good,no-use
47,high,high,4,islam,no,A,high,good,no-use
32,high,high,4,islam,yes,A,mid-high,good,no-use
37,mid-high,mid-high,2,islam,no,A,high,good,no-use
45,low,mid-high,1,islam,no,B,mid-high,bad,no-use
47,low,high,8,islam,no,C,mid-high,good,no-use
28,mid-high,high,0,islam,no,C,mid-low,good,no-use
48,low,mid-high,4,islam,no,C,high,bad,no-use
26,mid-low,high,1,islam,no,A,mid-high,good,no-use
21,mid-high,high,0,islam,yes,C,low,good,no-use
20,mid-low,mid-high,1,islam,no,B,high,good,no-use
39,low,low,5,islam,yes,C,low,bad,no-use
27,mid-low,mid-high,1,islam,yes,C,high,good,no-use
37,mid-low,mid-high,5,islam,yes,C,mid-low,good,no-use
24,high,high,1,islam,no,C,mid-high,good,no-use
39,mid-high,mid-high,6,islam,no,C,mid-high,good,no-use
20,mid-high,mid-high,1,islam,no,B,mid-high,good,no-use
19,mid-high,high,1,islam,no,B,mid-high,good,no-use
40,mid-high,mid-high,4,islam,no,B,mid-low,good,no-use
41,low,high,4,islam,no,C,mid-high,good,no-use
22,high,high,2,islam,no,A,mid-high,good,no-use
32,mid-high,high,4,islam,no,A,high,good,no-use
34,high,high,2,non-islam,no,A,high,good,no-use
34,high,high,2,islam,yes,A,mid-high,good,no-use
23,high,high,2,islam,no,A,high,good,no-use
27,high,high,1,islam,no,A,mid-low,good,no-use
46,mid-high,mid-low,11,islam,yes,B,mid-low,bad,no-use
34,high,high,3,non-islam,no,A,mid-low,good,no-use
33,high,high,5,islam,no,C,mid-high,good,no-use
25,mid-high,mid-high,1,islam,no,C,mid-low,good,no-use
26,high,high,1,islam,yes,A,high,good,no-use
48,low,mid-high,4,islam,no,C,mid-high,bad,no-use
36,high,high,2,islam,no,C,mid-high,good,no-use
38,mid-high,high,2,non-islam,no,B,high,good,no-use
44,low,mid-low,7,islam,no,C,high,good,no-use
44,mid-low,mid-low,1,islam,yes,C,mid-low,good,no-use
39,mid-high,mid-high,1,non-islam,no,C,high,good,no-use
47,low,mid-low,7,islam,yes,C,mid-low,good,no-use
43,low,mid-high,5,islam,yes,C,mid-low,good,no-use
29,mid-high,mid-high,3,islam,yes,B,high,good,no-use
22,mid-high,mid-high,0,islam,no,B,mid-low,good,no-use
31,mid-low,high,5,islam,no,C,mid-low,good,no-use
22,high,high,0,islam,no,A,mid-high,good,no-use
45,mid-high,high,6,islam,no,B,high,good,no-use
42,mid-high,high,10,islam,yes,C,mid-low,good,no-use
38,mid-high,mid-high,7,islam,no,C,low,good,no-use
47,low,low,6,islam,yes,C,low,good,no-use
30,high,high,2,islam,no,A,high,good,no-use
28,mid-high,high,1,islam,no,C,high,good,no-use
25,mid-high,high,1,islam,no,B,low,good,no-use
49,mid-low,high,6,non-islam,no,B,mid-high,good,no-use
23,mid-high,high,2,islam,yes,B,mid-high,good,no-use
35,mid-high,high,1,non-islam,no,B,mid-high,good,no-use
47,mid-low,low,5,non-islam,no,B,high,good,no-use
35,mid-low,mid-high,0,islam,no,B,high,good,no-use
44,mid-high,high,6,islam,no,C,high,good,no-use
48,high,high,3,islam,no,B,high,good,no-use
43,mid-low,mid-high,6,islam,yes,C,mid-high,good,no-use
21,mid-low,high,2,islam,no,C,low,good,no-use
22,high,high,0,islam,no,A,high,good,no-use
41,mid-high,mid-high,5,islam,no,C,high,good,no-use
29,mid-low,high,2,islam,yes,D,high,bad,no-use
44,high,high,5,non-islam,no,B,high,good,no-use
22,high,high,0,islam,yes,A,high,good,no-use
23,mid-low,high,4,islam,no,C,mid-high,good,no-use
22,mid-low,low,0,islam,no,C,mid-low,good,no-use
35,low,mid-high,0,islam,no,B,mid-low,bad,no-use
24,high,high,1,islam,no,B,mid-low,good,no-use
36,high,high,4,islam,no,A,high,good,no-use
47,low,mid-low,2,islam,no,B,high,good,no-use
40,high,high,3,islam,no,C,high,good,no-use
29,high,high,1,islam,no,A,mid-high,good,no-use
49,mid-high,high,6,islam,no,A,high,good,no-use
49,mid-high,high,9,islam,no,A,high,good,no-use
47,high,high,2,islam,no,A,high,good,no-use
28,high,high,3,non-islam,no,A,high,good,no-use
26,high,high,1,islam,no,A,high,good,no-use
29,low,mid-low,7,islam,no,B,high,good,no-use
29,high,mid-low,0,islam,yes,B,mid-low,good,no-use
25,mid-high,mid-high,1,islam,no,C,high,good,no-use
24,mid-low,high,2,islam,no,C,high,good,no-use
23,high,high,1,islam,yes,B,high,good,no-use
23,high,high,2,islam,yes,C,mid-high,good,no-use
44,low,mid-low,2,islam,no,B,high,good,no-use
39,mid-high,high,6,islam,no,A,high,good,no-use
21,mid-high,mid-high,0,islam,no,B,mid-low,good,no-use
22,mid-high,high,2,islam,no,B,mid-high,good,no-use
47,mid-high,high,3,islam,no,B,mid-high,good,no-use
36,mid-high,mid-high,2,islam,yes,B,high,good,no-use
25,low,high,2,islam,yes,C,mid-high,bad,no-use
40,high,high,2,islam,no,C,high,good,no-use
36,mid-low,mid-low,0,non-islam,yes,C,mid-high,good,no-use
37,mid-low,mid-high,5,non-islam,yes,B,high,good,no-use
28,low,high,2,islam,yes,B,mid-high,good,no-use
30,mid-high,mid-high,5,islam,yes,C,high,good,no-use
16,mid-high,high,1,islam,no,C,mid-high,good,no-use
32,mid-low,mid-high,4,non-islam,no,B,high,good,no-use
40,high,high,3,non-islam,no,C,high,good,no-use
40,low,low,2,islam,yes,C,high,good,no-use
45,mid-high,high,2,non-islam,no,A,high,good,no-use
21,low,mid-high,0,islam,yes,C,high,bad,no-use
28,high,high,1,non-islam,no,A,mid-high,good,no-use
25,high,high,1,non-islam,no,B,mid-high,good,no-use
44,low,mid-high,4,islam,no,C,mid-high,bad,no-use
35,high,high,2,non-islam,no,C,high,good,no-use
49,high,high,4,islam,no,C,high,good,no-use
39,mid-high,high,1,non-islam,no,C,high,good,no-use
32,mid-high,high,1,non-islam,no,B,high,good,no-use
35,low,mid-low,0,islam,yes,D,high,good,no-use
21,low,mid-low,1,islam,yes,C,high,good,no-use
47,high,high,1,non-islam,no,A,high,good,no-use
27,high,high,1,non-islam,no,C,high,good,no-use
31,mid-low,mid-low,8,islam,no,B,mid-low,bad,no-use
34,high,mid-high,0,non-islam,yes,C,mid-high,good,no-use
30,high,high,3,islam,yes,B,high,good,no-use
25,high,high,0,islam,yes,B,high,good,no-use
28,mid-high,high,3,islam,no,B,low,good,no-use
30,mid-low,mid-high,4,islam,yes,C,mid-low,good,no-use
42,mid-high,mid-high,8,islam,no,D,mid-high,good,no-use
23,high,high,0,non-islam,no,B,high,good,no-use
45,mid-high,high,3,non-islam,no,C,high,good,no-use
21,high,high,1,islam,no,C,mid-high,good,no-use
28,high,high,1,non-islam,no,B,high,good,no-use
33,high,high,1,non-islam,yes,C,high,good,no-use
32,low,mid-low,4,islam,no,C,mid-low,bad,no-use
25,mid-low,mid-low,3,islam,no,C,mid-high,good,no-use
25,mid-high,mid-high,1,islam,no,C,low,good,no-use
19,mid-low,mid-low,2,islam,no,C,low,good,no-use
40,low,mid-low,6,islam,no,C,low,bad,no-use
24,mid-low,mid-low,2,islam,no,C,low,bad,no-use
32,mid-low,mid-low,1,islam,no,B,low,good,no-use
35,mid-low,mid-high,8,islam,no,C,mid-low,good,no-use
27,mid-low,mid-low,1,islam,yes,C,mid-low,bad,no-use
23,mid-low,high,2,islam,no,A,high,good,no-use
22,mid-low,high,4,islam,no,C,high,good,no-use
49,mid-low,mid-high,0,islam,no,A,mid-low,good,no-use
25,mid-low,mid-high,0,islam,no,B,high,good,no-use
18,mid-high,high,1,islam,no,C,low,good,no-use
43,mid-high,mid-high,4,islam,no,B,high,good,no-use
37,low,mid-high,0,islam,no,C,high,good,no-use
30,mid-low,mid-high,2,islam,yes,B,high,good,no-use
29,mid-high,mid-low,0,islam,no,B,mid-low,good,no-use
20,mid-low,mid-high,3,islam,no,C,high,good,no-use
42,mid-high,mid-high,3,islam,yes,B,high,good,no-use
23,high,high,1,islam,no,B,mid-high,good,no-use
34,mid-low,mid-high,7,islam,yes,C,mid-high,good,no-use
23,mid-high,mid-high,6,islam,no,C,mid-high,good,no-use
38,mid-high,mid-high,5,islam,no,A,high,good,no-use
37,mid-low,mid-high,4,islam,no,B,mid-high,good,no-use
17,mid-low,mid-high,1,islam,no,C,mid-low,good,no-use
39,mid-high,high,3,islam,no,A,high,good,no-use
49,low,mid-high,0,islam,no,C,mid-high,bad,no-use
23,mid-high,mid-high,2,islam,no,B,mid-low,good,no-use
40,mid-high,mid-high,3,islam,no,B,mid-low,bad,no-use
32,mid-low,high,5,islam,no,B,mid-high,good,no-use
18,mid-low,mid-high,1,islam,no,B,mid-high,good,no-use
