Wife-age,Wife-education,Husband-education,Number-children-born,Wife-religion,Wife-working?,Husband-occupation,Standard-of-living-index,Media-exposure,Contraceptive-method-used
46,low,mid-low,8,islam,no,C,mid-high,bad,no-use
37,mid-high,mid-high,6,islam,no,B,mid-low,good,no-use
38,mid-low,high,5,non-islam,no,B,mid-low,good,no-use
37,mid-low,mid-high,2,non-islam,yes,C,mid-high,good,no-use
25,mid-low,mid-high,1,islam,yes,B,low,good,no-use
38,mid-low,high,5,islam,no,C,mid-high,good,no-use
39,high,high,2,islam,yes,A,high,good,no-use
44,high,high,3,islam,yes,A,high,bad,no-use
19,high,high,0,non-islam,no,C,high,good,no-use
28,mid-low,high,1,islam,yes,C,high,good,no-use
20,mid-low,mid-high,1,islam,no,C,high,good,no-use
33,high,high,0,islam,yes,C,mid-high,good,no-use
33,high,high,5,islam,no,C,high,good,no-use
47,low,high,6,islam,no,A,high,good,no-use
25,mid-high,mid-high,0,islam,no,C,high,good,no-use
29,high,high,0,islam,yes,B,high,good,no-use
37,high,high,2,non-islam,no,A,high,good,no-use
49,low,mid-high,6,islam,no,B,high,good,no-use
48,low,low,8,islam,yes,B,mid-low,bad,no-use
19,mid-low,mid-low,0,islam,no,B,mid-low,good,no-use
46,low,mid-low,3,islam,no,B,low,bad,no-use
39,low,mid-low,2,islam,no,C,low,bad,no-use
30,mid-high,high,5,islam,no,A,high,good,no-use
40,mid-low,mid-low,8,islam,no,B,mid-low,good,no-use
43,low,mid-low,1,islam,no,C,high,bad,no-use
29,mid-high,high,4,islam,yes,A,mid-high,good,no-use
23,mid-high,mid-high,2,islam,no,C,mid-high,good,no-use
24,mid-low,mid-low,3,islam,no,B,high,good,no-use
47,mid-high,mid-high,2,islam,no,B,high,good,no-use
35,mid-high,mid-high,2,islam,yes,B,mid-low,good,no-use
19,mid-high,mid-high,1,islam,no,B,high,good,no-use
45,mid-low,mid-high,4,islam,yes,B,high,good,no-use
42,mid-low,high,2,islam,no,C,high,good,no-use
47,low,low,1,islam,no,C,high,good,no-use
25,mid-low,mid-low,2,islam,no,C,low,good,no-use
20,mid-low,mid-high,3,islam,no,C,high,good,no-use
33,mid-high,mid-high,6,islam,no,C,high,good,long-term
46,high,mid-high,5,islam,no,A,high,good,long-term
35,high,high,4,islam,no,A,high,good,long-term
26,high,high,2,islam,yes,A,high,good,long-term
36,mid-high,mid-high,5,islam,yes,A,mid-high,good,long-term
37,mid-high,high,3,islam,no,A,mid-high,good,long-term
44,mid-low,high,4,islam,no,C,mid-high,good,long-term
32,high,high,2,islam,no,A,high,good,long-term
25,mid-low,high,6,islam,no,C,high,good,long-term
42,mid-low,mid-high,7,islam,no,C,high,good,long-term
30,high,high,2,non-islam,yes,A,high,good,long-term
39,high,high,4,islam,no,A,high,good,long-term
26,low,low,2,islam,no,C,high,good,long-term
30,mid-low,high,3,islam,no,C,high,good,long-term
38,high,high,4,non-islam,yes,A,mid-low,good,long-term
23,high,high,1,islam,no,A,mid-low,good,long-term
18,mid-high,high,1,islam,no,C,high,good,long-term
25,mid-high,high,3,islam,no,B,mid-high,good,long-term
37,high,high,2,islam,yes,C,mid-high,good,long-term
20,mid-high,high,1,islam,no,C,mid-low,good,long-term
45,high,high,7,islam,no,A,high,good,long-term
28,mid-low,low,2,islam,yes,C,mid-high,good,long-term
33,mid-low,mid-low,3,islam,no,B,mid-high,good,long-term
28,mid-low,mid-high,2,islam,no,C,mid-high,good,long-term
30,mid-low,high,1,islam,yes,C,high,good,long-term
32,high,high,4,islam,no,B,high,good,long-term
48,high,mid-high,7,islam,yes,B,high,good,long-term
46,high,high,2,islam,yes,A,high,good,long-term
32,high,high,2,non-islam,yes,A,high,good,long-term
49,high,high,10,islam,no,A,high,good,long-term
33,mid-low,mid-low,6,islam,yes,C,high,good,long-term
39,high,high,3,islam,no,A,high,good,long-term
35,high,high,5,non-islam,yes,A,high,good,long-term
36,high,high,3,non-islam,no,A,mid-high,good,long-term
20,mid-high,high,1,islam,no,B,high,good,long-term
23,high,high,1,islam,no,C,high,good,long-term
26,mid-low,high,2,islam,no,A,mid-high,good,long-term
25,mid-high,mid-high,1,islam,no,C,low,good,long-term
31,high,high,1,islam,no,A,high,good,long-term
36,high,high,2,islam,no,B,high,good,long-term
32,mid-high,mid-high,2,islam,yes,C,high,good,long-term
36,high,high,3,islam,no,A,high,good,long-term
40,high,high,3,islam,no,A,high,good,long-term
46,high,high,4,islam,no,A,high,good,long-term
42,high,high,8,non-islam,no,A,high,good,long-term
39,high,high,4,islam,yes,A,high,good,long-term
34,high,high,2,islam,no,A,high,good,long-term
36,high,high,3,islam,no,A,high,good,long-term
37,high,high,3,islam,no,A,high,good,long-term
36,high,high,4,non-islam,no,A,high,good,long-term
38,high,high,2,islam,no,A,high,good,long-term
27,mid-high,mid-high,1,non-islam,yes,B,high,good,long-term
37,high,mid-high,8,islam,no,A,high,good,long-term
24,low,high,1,islam,yes,D,mid-low,bad,long-term
42,mid-low,high,8,islam,no,A,high,good,long-term
31,high,high,3,non-islam,yes,D,high,good,long-term
34,mid-low,mid-high,2,islam,no,C,mid-high,good,long-term
34,high,high,4,islam,no,C,mid-high,good,long-term
36,high,high,4,non-islam,yes,A,high,good,long-term
47,high,high,8,islam,no,A,high,good,long-term
34,high,high,3,islam,no,A,high,good,long-term
44,high,high,6,non-islam,no,A,mid-high,good,long-term
21,high,high,1,islam,no,A,high,good,long-term
42,high,high,6,islam,no,A,mid-high,good,long-term
44,high,high,4,islam,yes,B,mid-high,good,long-term
19,high,high,1,islam,no,B,mid-high,good,long-term
35,low,mid-high,7,islam,yes,B,mid-high,bad,long-term
24,high,high,1,islam,no,C,mid-low,good,long-term
32,mid-high,high,7,non-islam,no,A,mid-high,good,long-term
31,mid-high,mid-high,2,islam,yes,C,mid-high,good,long-term
47,mid-high,high,11,islam,yes,B,mid-high,good,long-term
38,high,high,6,islam,yes,C,mid-high,good,long-term
40,high,high,4,islam,no,A,mid-high,good,long-term
35,mid-high,mid-high,4,islam,no,C,mid-low,good,long-term
26,mid-high,high,3,islam,no,C,high,good,long-term
23,high,mid-high,3,islam,no,C,mid-high,good,long-term
40,high,high,6,non-islam,yes,A,high,good,long-term
37,high,high,3,islam,no,A,high,good,long-term
39,high,high,5,islam,no,B,high,good,long-term
25,high,high,2,islam,no,B,high,good,long-term
48,high,high,4,non-islam,no,A,high,good,long-term
31,high,high,3,islam,no,A,high,good,long-term
26,high,high,1,non-islam,no,B,high,good,long-term
44,high,high,5,islam,yes,A,high,good,long-term
29,high,high,1,islam,yes,B,high,good,long-term
36,mid-low,low,6,islam,no,B,low,good,long-term
29,high,high,2,islam,yes,A,mid-high,good,long-term
37,mid-low,mid-high,7,islam,no,C,high,good,long-term
28,mid-high,mid-high,3,islam,no,A,mid-low,good,long-term
40,mid-low,mid-high,6,islam,no,A,mid-low,good,long-term
33,high,high,4,islam,no,A,high,good,long-term
22,high,high,1,islam,no,A,mid-low,good,long-term
35,mid-high,high,5,islam,yes,A,mid-high,bad,long-term
32,high,high,3,non-islam,no,C,mid-high,good,long-term
35,high,high,5,islam,yes,A,mid-high,good,long-term
29,high,high,2,islam,no,A,high,good,long-term
23,mid-high,mid-high,2,islam,yes,C,high,good,long-term
35,high,high,2,islam,yes,A,high,good,long-term
36,high,high,3,islam,yes,B,high,good,long-term
32,high,high,2,islam,yes,A,high,good,long-term
30,high,low,4,islam,no,C,mid-high,good,long-term
36,high,high,4,non-islam,no,B,high,good,long-term
33,high,high,3,islam,no,C,high,good,long-term
33,mid-high,high,5,non-islam,no,C,mid-high,good,long-term
43,mid-low,high,13,islam,no,B,mid-high,good,long-term
35,mid-high,mid-high,6,islam,no,B,mid-high,good,long-term
38,high,high,5,islam,no,A,mid-high,good,long-term
25,mid-high,low,4,islam,no,C,low,good,long-term
26,mid-high,mid-high,2,islam,no,C,mid-low,good,long-term
24,high,high,1,islam,no,C,high,good,long-term
22,mid-high,high,1,islam,no,D,high,good,long-term
33,mid-low,mid-high,5,islam,yes,B,low,good,long-term
45,mid-high,mid-high,7,islam,no,C,high,good,long-term
29,high,high,2,islam,yes,A,mid-high,good,long-term
47,mid-low,mid-low,7,islam,no,B,high,good,long-term
36,mid-high,mid-low,6,islam,no,C,mid-low,good,long-term
45,mid-high,mid-high,8,islam,no,B,mid-high,good,long-term
47,high,high,6,islam,yes,A,high,good,long-term
43,mid-high,high,2,islam,yes,B,high,good,long-term
44,high,high,7,islam,no,C,mid-low,good,long-term
24,mid-low,high,2,islam,no,C,mid-high,good,long-term
28,high,high,2,islam,yes,A,mid-high,good,long-term
34,high,high,5,islam,no,C,high,good,long-term
31,mid-high,high,4,islam,no,A,mid-high,good,long-term
27,high,high,3,islam,no,A,high,good,long-term
27,mid-high,mid-high,1,islam,yes,C,high,good,long-term
26,high,high,1,islam,yes,A,mid-high,good,long-term
36,mid-high,high,7,islam,no,B,mid-low,good,long-term
35,high,high,4,non-islam,no,C,mid-high,good,long-term
38,high,high,6,islam,no,C,mid-high,good,long-term
44,high,high,7,islam,no,B,high,good,long-term
25,high,high,1,islam,no,A,high,good,long-term
25,high,high,2,non-islam,no,A,mid-high,good,long-term
41,high,high,4,islam,no,A,high,good,long-term
41,mid-high,high,5,islam,no,A,mid-high,good,long-term
24,high,high,1,islam,yes,A,high,good,long-term
33,high,high,3,islam,no,C,mid-high,good,long-term
29,high,high,3,islam,yes,C,mid-high,good,long-term
47,high,high,4,islam,yes,A,high,good,long-term
28,high,high,4,islam,no,A,mid-high,good,long-term
21,mid-low,mid-low,1,islam,no,C,mid-low,good,long-term
32,mid-high,mid-high,6,islam,yes,C,mid-high,good,long-term
30,mid-high,high,2,islam,no,A,high,good,long-term
37,high,high,5,islam,no,C,high,good,long-term
29,high,mid-high,4,islam,yes,C,mid-low,good,long-term
38,high,high,3,islam,yes,A,high,good,long-term
49,mid-high,mid-high,11,islam,no,A,high,good,long-term
41,mid-high,mid-high,5,islam,no,A,high,good,long-term
43,mid-high,high,5,islam,no,C,mid-low,bad,long-term
47,low,low,10,islam,no,C,mid-high,good,long-term
22,high,high,1,islam,no,A,mid-high,good,long-term
27,high,high,1,non-islam,yes,A,high,good,long-term
34,mid-high,high,2,non-islam,no,B,mid-high,good,long-term
42,mid-high,mid-high,4,islam,no,B,high,good,long-term
39,high,high,3,non-islam,yes,A,high,good,long-term
36,high,high,3,non-islam,no,B,high,good,long-term
21,high,high,1,islam,no,B,low,good,long-term
36,mid-high,high,4,non-islam,yes,B,high,good,long-term
25,mid-low,mid-high,1,islam,yes,D,high,good,long-term
41,high,high,4,non-islam,yes,B,high,good,long-term
32,high,high,4,non-islam,yes,B,high,good,long-term
41,high,high,4,non-islam,yes,B,high,good,long-term
43,high,high,3,non-islam,no,A,high,good,long-term
35,high,high,3,islam,no,B,mid-high,good,long-term
24,high,high,2,islam,yes,A,mid-high,good,long-term
43,high,high,6,islam,no,A,high,good,long-term
48,high,high,7,non-islam,no,A,high,good,long-term
28,high,high,2,islam,no,A,mid-high,good,long-term
24,high,high,1,islam,no,A,high,good,long-term
42,high,high,3,islam,yes,A,high,good,long-term
39,high,high,3,islam,no,A,high,good,long-term
24,high,high,1,islam,no,A,high,good,long-term
33,high,mid-high,5,islam,no,B,high,good,long-term
29,high,high,2,islam,no,C,high,good,long-term
44,high,high,5,islam,no,A,high,good,long-term
17,high,high,1,islam,no,B,high,good,long-term
35,mid-high,high,3,islam,no,B,mid-low,good,long-term
32,mid-high,high,5,islam,no,A,mid-low,good,long-term
27,high,high,2,islam,yes,A,mid-high,good,long-term
44,high,high,4,islam,no,A,high,good,long-term
42,high,high,5,islam,no,A,high,good,long-term
40,high,high,6,islam,no,A,mid-high,good,long-term
44,high,high,3,islam,no,A,high,good,long-term
33,high,high,5,islam,no,B,high,good,long-term
35,mid-low,high,3,non-islam,yes,C,high,bad,long-term
31,high,mid-low,2,non-islam,no,A,mid-high,good,long-term
37,high,high,3,non-islam,no,C,high,good,long-term
45,high,high,3,non-islam,no,B,high,good,long-term
26,high,high,2,non-islam,no,A,high,good,long-term
40,mid-high,high,2,non-islam,no,C,high,good,long-term
30,high,high,1,non-islam,no,B,high,good,long-term
36,mid-high,high,3,non-islam,yes,C,high,good,long-term
33,mid-high,high,3,non-islam,no,B,high,good,long-term
41,high,high,5,non-islam,no,B,high,good,long-term
45,mid-high,mid-high,6,non-islam,no,B,high,good,long-term
48,high,high,6,non-islam,no,B,high,good,long-term
35,high,high,3,non-islam,yes,C,high,good,long-term
37,high,high,4,non-islam,yes,B,high,good,long-term
46,high,high,3,non-islam,yes,A,high,good,long-term
38,high,high,4,non-islam,no,C,high,good,long-term
30,mid-high,high,7,islam,no,B,high,good,long-term
42,high,mid-high,7,islam,yes,A,high,good,long-term
35,mid-low,mid-low,6,islam,no,C,high,good,long-term
34,high,high,6,islam,no,C,high,good,long-term
37,high,high,4,islam,no,A,high,good,long-term
38,high,high,6,islam,no,A,high,good,long-term
30,mid-high,mid-high,2,islam,no,B,mid-high,good,long-term
46,high,high,4,islam,no,A,high,good,long-term
31,high,high,3,non-islam,no,B,high,good,long-term
41,high,high,6,non-islam,no,A,high,good,long-term
41,high,high,7,islam,no,B,high,good,long-term
32,high,high,2,non-islam,yes,B,high,good,long-term
44,high,high,4,islam,no,A,high,good,long-term
39,high,high,4,non-islam,no,A,high,good,long-term
39,high,high,5,islam,no,A,high,good,long-term
45,high,high,4,islam,no,A,high,good,long-term
33,high,high,3,islam,no,A,high,good,long-term
39,high,high,3,non-islam,no,A,high,good,long-term
44,high,high,3,islam,yes,A,high,good,long-term
34,mid-high,mid-high,6,islam,no,C,high,good,long-term
33,mid-high,mid-high,5,islam,no,C,high,good,long-term
34,mid-low,mid-low,8,islam,no,B,mid-low,good,long-term
27,mid-high,mid-low,5,islam,no,B,high,good,long-term
47,low,low,8,islam,no,C,high,bad,long-term
25,mid-low,high,3,islam,no,A,high,bad,long-term
24,mid-high,high,5,islam,no,A,mid-low,bad,long-term
41,high,high,4,islam,yes,A,high,good,long-term
29,mid-high,mid-high,4,islam,no,C,high,good,short-term
27,mid-low,mid-low,5,islam,no,C,low,good,short-term
40,mid-high,high,5,islam,no,A,mid-low,good,short-term
30,mid-low,mid-low,6,islam,no,C,low,good,short-term
24,high,high,1,islam,yes,A,high,good,short-term
36,high,high,2,islam,yes,A,high,good,short-term
17,mid-low,mid-low,1,islam,no,C,mid-low,good,short-term
28,low,mid-low,4,islam,no,B,mid-high,good,short-term
27,mid-low,high,1,islam,no,A,high,good,short-term
21,mid-high,mid-high,1,islam,no,C,mid-high,good,short-term
30,mid-low,mid-low,4,islam,no,B,high,good,short-term
48,high,high,16,islam,no,A,high,good,short-term
29,mid-low,high,3,islam,yes,C,mid-high,good,short-term
29,high,high,2,islam,no,C,high,good,short-term
20,mid-high,high,2,islam,no,A,mid-high,good,short-term
28,high,high,1,islam,no,C,mid-low,good,short-term
32,mid-low,mid-high,5,islam,yes,B,mid-high,good,short-term
27,mid-high,mid-high,1,islam,yes,C,mid-high,good,short-term
25,mid-low,mid-high,1,islam,no,C,low,good,short-term
43,high,high,3,islam,no,A,high,good,short-term
35,high,high,2,islam,no,B,high,good,short-term
30,high,high,1,islam,no,A,high,good,short-term
29,low,high,3,islam,no,D,high,bad,short-term
33,mid-high,high,8,islam,no,C,high,good,short-term
37,mid-high,high,5,islam,yes,B,high,good,short-term
27,mid-low,high,3,islam,no,D,high,good,short-term
33,mid-low,high,3,islam,no,B,high,good,short-term
35,mid-low,mid-high,6,islam,yes,C,mid-high,good,short-term
20,mid-high,mid-high,2,islam,no,B,high,good,short-term
26,mid-low,high,3,islam,no,C,high,good,short-term
24,mid-high,mid-high,2,islam,no,C,mid-high,good,short-term
45,low,mid-high,3,islam,no,C,mid-low,good,short-term
34,mid-high,high,4,islam,no,A,mid-high,good,short-term
49,high,mid-high,13,islam,no,A,high,good,short-term
33,high,high,5,islam,no,A,high,good,short-term
33,mid-high,mid-high,8,islam,no,C,high,good,short-term
24,mid-high,high,3,islam,no,A,high,good,short-term
30,mid-low,mid-low,4,islam,no,B,low,good,short-term
27,mid-low,high,4,islam,no,B,low,good,short-term
23,high,mid-high,1,islam,no,B,mid-low,good,short-term
35,high,high,4,islam,no,A,high,good,short-term
35,high,high,1,non-islam,no,A,high,good,short-term
40,high,high,2,non-islam,yes,A,high,good,short-term
29,mid-high,mid-high,1,islam,no,C,mid-high,good,short-term
33,mid-high,mid-high,3,islam,no,C,mid-high,good,short-term
36,high,high,6,non-islam,no,A,mid-low,bad,short-term
36,high,high,4,non-islam,no,A,high,good,short-term
41,high,high,1,islam,no,C,mid-high,good,short-term
38,mid-high,high,3,islam,no,C,mid-low,good,short-term
29,mid-low,high,3,islam,no,C,mid-high,good,short-term
19,high,high,1,islam,no,A,mid-high,good,short-term
34,mid-low,mid-high,2,islam,no,B,mid-high,good,short-term
26,mid-low,high,3,islam,no,C,high,good,short-term
22,high,high,1,islam,no,B,mid-high,good,short-term
42,high,high,7,islam,no,B,high,good,short-term
27,mid-high,high,2,islam,no,C,mid-low,good,short-term
27,high,high,2,islam,no,A,high,good,short-term
39,high,mid-high,1,islam,yes,B,mid-low,good,short-term
21,high,high,1,islam,no,C,low,good,short-term
36,mid-low,mid-high,7,islam,no,C,mid-high,good,short-term
29,low,mid-low,5,islam,yes,A,mid-low,good,short-term
29,mid-low,mid-high,4,islam,no,B,low,good,short-term
22,mid-high,mid-low,2,islam,no,B,low,good,short-term
20,mid-low,mid-high,1,islam,no,B,low,good,short-term
33,mid-high,high,4,islam,yes,B,high,good,short-term
27,mid-high,mid-high,3,islam,no,B,mid-high,good,short-term
25,high,high,3,islam,no,A,high,good,short-term
25,high,mid-high,2,islam,no,C,mid-high,good,short-term
32,mid-low,mid-high,4,islam,no,C,mid-low,good,short-term
39,mid-high,high,2,islam,no,A,mid-high,good,short-term
31,mid-high,mid-high,3,islam,no,B,low,bad,short-term
26,high,high,4,islam,no,C,high,good,short-term
30,mid-high,mid-high,7,islam,no,C,high,good,short-term
43,mid-high,mid-high,5,islam,yes,C,mid-high,good,short-term
34,mid-low,high,4,islam,no,C,mid-high,good,short-term
43,high,high,3,islam,no,A,high,good,short-term
32,high,high,3,non-islam,no,A,high,good,short-term
41,high,high,5,islam,no,A,high,good,short-term
32,high,high,3,non-islam,no,A,high,good,short-term
46,high,high,4,islam,no,A,high,good,short-term
40,mid-high,high,3,islam,yes,A,high,good,short-term
21,high,high,1,islam,no,B,mid-high,good,short-term
32,high,high,3,islam,no,A,high,good,short-term
25,high,high,1,non-islam,no,C,mid-high,good,short-term
24,high,high,1,islam,no,A,mid-high,good,short-term
21,mid-low,mid-high,1,islam,yes,C,mid-low,good,short-term
22,high,high,1,islam,no,C,mid-high,good,short-term
32,high,high,4,islam,no,A,mid-high,good,short-term
30,high,high,2,islam,yes,B,mid-low,good,short-term
25,low,mid-low,2,islam,no,B,low,good,short-term
31,mid-high,mid-high,6,non-islam,no,C,low,good,short-term
19,mid-low,high,1,islam,no,B,mid-high,good,short-term
33,mid-low,mid-low,7,islam,yes,B,mid-high,good,short-term
24,mid-low,mid-low,2,islam,no,C,high,good,short-term
19,mid-high,mid-high,3,islam,no,B,mid-high,good,short-term
27,mid-low,mid-low,5,islam,no,C,mid-high,good,short-term
32,high,high,2,non-islam,yes,A,high,good,short-term
32,high,high,2,islam,yes,A,mid-high,good,short-term
29,low,mid-high,5,islam,no,C,mid-high,good,short-term
23,mid-high,high,1,islam,no,B,mid-high,good,short-term
34,mid-low,high,7,islam,no,B,mid-high,good,short-term
27,mid-low,high,1,islam,no,C,mid-high,good,short-term
37,high,high,4,islam,no,C,mid-low,good,short-term
