Wife-age,Wife-education,Husband-education,Number-children-born,Wife-religion,Wife-working?,Husband-occupation,Standard-of-living-index,Media-exposure,Contraceptive-method-used
30,mid-low,mid-high,1,islam,no,B,low,good,no-use
35,high,high,3,islam,no,A,high,good,no-use
34,mid-low,mid-low,9,islam,yes,B,mid-high,good,no-use
28,high,high,1,islam,yes,A,mid-high,good,no-use
18,mid-high,high,1,islam,no,C,mid-high,good,no-use
25,mid-low,mid-high,2,islam,no,C,mid-low,good,no-use
27,mid-high,high,0,islam,yes,C,mid-high,good,no-use
21,high,high,1,islam,no,C,high,good,no-use
19,high,high,1,islam,no,A,mid-high,good,no-use
26,high,high,0,islam,no,C,high,good,no-use
28,high,high,5,islam,no,A,high,good,no-use
38,low,mid-high,4,islam,yes,B,mid-low,good,no-use
39,mid-low,mid-high,10,islam,no,C,high,good,no-use
45,mid-low,mid-high,6,islam,no,C,mid-low,bad,no-use
30,mid-high,high,4,non-islam,no,B,mid-high,good,no-use
47,mid-low,high,2,islam,no,C,mid-low,bad,no-use
38,mid-low,mid-low,6,islam,no,C,high,good,no-use
42,mid-high,mid-high,5,islam,no,B,mid-low,good,no-use
31,high,high,2,islam,no,A,mid-low,good,no-use
44,low,mid-low,2,islam,no,C,low,good,no-use
42,high,high,3,islam,yes,A,high,good,no-use
28,high,high,2,islam,no,A,mid-high,good,no-use
34,mid-low,high,6,islam,yes,C,high,good,no-use
45,low,mid-high,7,islam,yes,A,mid-high,good,no-use
43,high,high,5,islam,no,A,mid-high,good,no-use
28,mid-high,high,0,islam,yes,C,high,good,no-use
27,mid-high,high,0,islam,no,C,mid-high,good,no-use
26,mid-low,mid-high,1,islam,yes,D,high,good,no-use
26,mid-high,high,1,non-islam,no,B,mid-low,good,no-use
37,mid-high,high,4,islam,yes,B,high,good,no-use
48,mid-high,high,11,islam,no,A,high,good,no-use
47,mid-low,mid-high,12,islam,no,C,low,good,no-use
22,mid-low,high,1,islam,no,C,high,good,no-use
48,high,high,1,non-islam,no,A,high,good,no-use
42,low,mid-high,12,islam,no,B,high,good,no-use
32,high,high,3,islam,no,A,high,good,no-use
33,high,high,3,non-islam,yes,A,mid-high,good,no-use
45,high,high,1,islam,yes,A,high,good,no-use
26,mid-low,mid-high,1,islam,yes,C,high,bad,no-use
45,high,high,1,islam,no,A,high,good,no-use
25,mid-high,mid-high,1,islam,yes,B,high,good,no-use
36,high,mid-high,3,islam,yes,C,mid-low,good,no-use
31,mid-high,mid-high,2,islam,yes,C,mid-high,good,no-use
22,mid-high,high,2,islam,no,C,mid-high,good,no-use
46,high,high,10,islam,no,A,mid-high,good,no-use
26,mid-low,mid-high,3,islam,no,C,high,good,no-use
25,mid-high,mid-low,1,islam,yes,C,mid-high,good,no-use
20,high,high,0,non-islam,yes,B,high,good,no-use
31,mid-high,high,3,non-islam,yes,B,high,good,no-use
36,mid-high,mid-high,3,non-islam,yes,B,mid-high,bad,no-use
47,mid-high,mid-low,5,islam,no,D,high,good,no-use
43,mid-high,high,2,non-islam,no,C,high,good,no-use
20,mid-high,high,0,islam,no,C,mid-high,good,no-use
24,high,high,4,islam,no,A,high,good,no-use
33,mid-low,mid-low,3,non-islam,yes,B,high,good,no-use
41,mid-high,high,3,non-islam,no,B,high,good,no-use
48,mid-high,high,4,non-islam,no,B,high,good,no-use
32,high,high,1,non-islam,no,A,high,good,no-use
38,mid-high,mid-high,4,non-islam,yes,C,mid-low,bad,no-use
48,mid-high,high,8,islam,no,C,mid-high,good,no-use
34,low,mid-high,4,islam,yes,C,high,good,no-use
31,low,low,6,islam,no,C,mid-low,good,no-use
46,low,mid-low,7,islam,no,C,low,bad,no-use
45,mid-low,mid-low,7,islam,no,C,low,bad,no-use
34,mid-high,high,4,non-islam,no,C,low,bad,no-use
16,mid-low,high,1,islam,no,C,high,good,no-use
18,mid-high,mid-low,1,islam,no,C,low,good,no-use
22,mid-low,mid-low,1,islam,no,C,low,bad,no-use
32,mid-low,mid-low,2,islam,no,B,high,good,no-use
41,low,mid-high,3,islam,yes,B,high,good,no-use
22,mid-high,mid-high,2,islam,no,B,high,good,no-use
23,mid-high,mid-low,0,islam,no,B,mid-low,good,no-use
22,mid-high,high,0,islam,yes,C,high,good,no-use
40,mid-low,mid-low,6,islam,no,B,mid-low,bad,no-use
29,mid-high,high,1,non-islam,no,B,mid-high,good,no-use
42,high,high,0,non-islam,yes,C,high,good,no-use
29,mid-high,high,2,islam,no,C,high,good,no-use
31,mid-high,mid-low,1,islam,no,C,high,good,no-use
28,high,high,3,non-islam,yes,A,high,good,no-use
21,mid-low,mid-high,0,islam,no,C,high,good,no-use
26,high,high,2,islam,no,A,mid-high,good,no-use
37,mid-high,high,0,islam,no,C,high,good,no-use
24,mid-high,high,2,islam,no,B,mid-low,good,no-use
25,high,high,0,non-islam,no,B,high,good,no-use
22,mid-low,low,0,islam,no,B,mid-low,good,no-use
45,high,high,1,islam,no,A,high,good,no-use
47,high,high,1,islam,no,A,high,good,no-use
28,high,high,5,islam,yes,C,high,good,no-use
24,mid-low,mid-low,4,islam,no,C,high,good,no-use
34,mid-high,mid-high,6,islam,no,B,mid-high,good,no-use
47,mid-low,mid-high,5,islam,no,A,low,good,no-use
31,mid-high,high,2,islam,no,A,high,good,no-use
26,low,mid-high,1,islam,no,C,low,good,no-use
25,high,high,3,islam,no,A,mid-low,good,no-use
47,low,low,4,islam,no,B,mid-low,good,no-use
48,low,low,8,islam,no,A,low,bad,no-use
38,mid-low,mid-low,10,islam,no,C,mid-low,good,no-use
32,low,mid-high,4,islam,no,B,mid-low,bad,no-use
47,low,mid-low,2,islam,no,B,high,good,no-use
27,high,high,3,islam,no,A,high,good,no-use
40,low,low,0,islam,no,C,mid-low,good,no-use
46,high,high,6,islam,no,A,high,good,no-use
33,mid-high,mid-high,3,islam,no,C,high,good,no-use
49,low,mid-low,5,islam,yes,B,mid-low,bad,no-use
21,mid-low,high,3,islam,no,C,mid-low,good,no-use
31,high,high,0,non-islam,yes,B,high,good,no-use
42,high,high,4,islam,no,C,high,good,long-term
35,high,high,3,islam,no,A,high,good,long-term
31,high,high,4,islam,no,C,mid-high,good,long-term
42,high,high,6,islam,no,A,mid-high,good,long-term
49,mid-high,high,4,islam,no,C,high,good,long-term
21,high,high,1,islam,no,A,mid-high,good,long-term
28,mid-high,high,3,islam,no,A,high,good,long-term
22,high,high,1,islam,no,A,mid-high,good,long-term
36,high,high,3,islam,yes,A,high,good,long-term
45,mid-low,mid-low,9,islam,no,C,mid-high,good,long-term
40,high,high,4,islam,no,A,high,good,long-term
30,mid-low,mid-low,7,islam,no,C,high,good,long-term
35,high,high,5,islam,yes,A,high,good,long-term
26,mid-low,high,2,islam,no,A,high,good,long-term
45,high,high,3,islam,no,A,high,good,long-term
27,mid-high,mid-high,2,islam,no,C,high,good,long-term
32,high,high,4,islam,no,A,mid-low,good,long-term
27,high,high,3,islam,no,A,mid-high,good,long-term
28,high,high,2,non-islam,no,A,high,good,long-term
30,high,high,3,islam,no,B,low,good,long-term
34,high,high,4,islam,no,B,high,good,long-term
26,mid-high,high,3,islam,no,B,mid-high,good,long-term
44,low,high,2,islam,no,A,mid-high,good,long-term
29,high,high,3,islam,no,A,high,good,long-term
26,mid-high,high,2,islam,no,C,mid-high,good,long-term
41,high,high,8,islam,no,A,high,good,long-term
32,mid-high,mid-high,4,islam,yes,C,mid-high,good,long-term
23,mid-high,low,1,islam,yes,C,mid-high,good,long-term
38,mid-low,mid-high,4,islam,no,A,mid-low,good,long-term
22,high,high,1,islam,yes,B,mid-low,good,long-term
34,mid-high,high,3,non-islam,no,A,high,good,long-term
38,mid-high,high,7,non-islam,no,B,mid-high,good,long-term
21,high,high,1,islam,no,A,high,good,long-term
43,low,mid-high,4,islam,no,A,high,good,long-term
44,mid-high,mid-high,9,islam,no,A,low,good,long-term
24,high,high,1,islam,no,B,high,good,long-term
27,high,high,1,islam,yes,C,mid-high,good,long-term
34,mid-high,high,4,islam,no,C,mid-high,good,long-term
29,mid-high,high,2,islam,no,A,high,good,long-term
26,high,high,1,islam,yes,B,mid-high,good,long-term
37,high,high,7,islam,no,A,high,good,long-term
21,mid-high,high,3,islam,no,A,high,good,long-term
47,high,high,4,non-islam,no,B,high,good,long-term
41,high,high,3,islam,yes,B,mid-high,good,long-term
29,mid-high,high,3,islam,no,A,mid-high,good,long-term
25,high,high,1,islam,yes,A,high,good,long-term
33,high,high,2,non-islam,yes,A,mid-high,good,long-term
23,high,high,1,non-islam,no,A,high,good,long-term
32,high,high,4,islam,no,B,mid-high,good,long-term
45,high,high,3,islam,no,A,high,good,long-term
37,high,high,4,islam,no,A,high,good,long-term
35,mid-low,high,4,non-islam,no,C,mid-low,good,long-term
37,high,high,3,islam,no,C,high,good,long-term
35,high,high,5,islam,no,B,high,good,long-term
23,high,high,1,islam,no,C,mid-high,good,long-term
38,mid-low,mid-low,8,islam,no,B,mid-low,good,long-term
41,high,high,4,non-islam,yes,B,high,good,long-term
35,low,mid-low,9,islam,yes,C,low,good,long-term
29,high,high,3,islam,no,C,mid-low,good,long-term
26,mid-high,mid-high,2,islam,no,A,mid-high,good,long-term
22,mid-high,mid-high,2,islam,no,C,mid-high,good,long-term
30,mid-low,mid-high,5,islam,no,C,low,bad,long-term
36,high,high,3,islam,no,C,mid-high,good,long-term
26,mid-high,high,3,islam,no,A,high,good,long-term
32,high,high,2,islam,yes,C,high,good,long-term
39,high,high,3,non-islam,no,B,high,good,long-term
29,mid-high,high,3,islam,no,A,mid-high,good,long-term
40,high,high,5,islam,no,A,mid-high,good,long-term
43,mid-high,mid-high,6,islam,yes,C,mid-low,good,long-term
44,mid-high,high,6,islam,no,C,mid-low,good,long-term
24,high,high,2,islam,no,B,high,good,long-term
42,high,high,3,islam,yes,A,high,good,long-term
33,mid-high,high,2,islam,no,A,high,good,long-term
24,high,high,1,non-islam,no,B,mid-high,good,long-term
28,mid-high,high,2,non-islam,no,B,mid-high,good,long-term
32,mid-low,low,5,islam,yes,B,mid-low,good,long-term
26,mid-low,mid-low,4,islam,no,C,high,good,long-term
27,high,high,1,islam,no,A,high,good,long-term
41,mid-high,high,3,non-islam,no,B,high,good,long-term
28,mid-high,high,2,non-islam,no,C,mid-high,good,long-term
23,high,high,1,islam,yes,C,high,good,long-term
31,mid-low,mid-low,4,islam,no,D,mid-high,bad,long-term
33,high,high,3,non-islam,no,B,high,good,long-term
35,high,high,5,islam,no,A,high,good,long-term
39,mid-high,high,5,islam,no,C,high,good,long-term
27,high,high,2,islam,no,A,mid-high,good,long-term
48,high,high,3,non-islam,no,A,high,good,long-term
25,mid-high,low,2,islam,yes,C,high,good,long-term
38,high,high,4,islam,no,B,high,good,long-term
48,high,high,7,islam,yes,A,high,good,long-term
34,high,high,4,islam,yes,C,mid-high,good,long-term
36,mid-high,mid-high,4,islam,no,A,mid-high,good,long-term
34,high,high,3,islam,yes,C,high,good,long-term
42,high,high,4,non-islam,yes,B,high,good,long-term
45,mid-high,mid-high,5,non-islam,no,A,mid-high,good,long-term
37,high,high,4,non-islam,no,B,high,good,long-term
38,high,high,3,non-islam,yes,B,high,good,long-term
42,mid-high,mid-high,4,non-islam,no,C,high,good,long-term
42,mid-low,high,5,non-islam,no,B,mid-high,good,long-term
41,high,high,6,islam,no,A,high,good,long-term
43,high,high,5,non-islam,no,A,high,good,long-term
34,high,high,2,non-islam,yes,C,mid-low,good,long-term
44,mid-low,mid-high,1,non-islam,no,B,high,good,long-term
41,high,high,4,non-islam,no,A,high,good,long-term
36,high,high,3,islam,no,A,high,good,long-term
34,low,mid-low,5,islam,no,C,high,good,long-term
32,mid-high,mid-low,5,islam,no,C,mid-high,good,short-term
34,mid-high,mid-high,6,islam,no,A,high,good,short-term
24,high,high,2,islam,yes,C,mid-high,good,short-term
21,mid-high,mid-high,1,non-islam,no,C,mid-low,good,short-term
38,high,mid-high,9,islam,no,C,mid-high,good,short-term
39,high,high,3,islam,yes,A,high,good,short-term
35,mid-low,mid-low,6,islam,yes,B,mid-low,bad,short-term
30,mid-low,mid-high,7,islam,no,C,mid-high,good,short-term
17,mid-high,high,1,islam,no,C,mid-high,good,short-term
32,mid-low,high,3,islam,no,C,high,good,short-term
43,high,high,5,non-islam,no,A,high,good,short-term
31,mid-low,mid-low,4,islam,no,C,mid-high,good,short-term
24,low,mid-low,3,islam,no,C,mid-low,good,short-term
26,mid-low,high,3,islam,no,A,mid-high,good,short-term
35,mid-high,high,4,islam,yes,A,high,good,short-term
46,mid-high,high,4,islam,yes,C,high,good,short-term
29,mid-low,mid-high,3,islam,no,C,mid-high,good,short-term
21,mid-high,high,1,islam,yes,C,high,good,short-term
31,high,high,5,islam,yes,A,high,good,short-term
24,high,high,2,islam,no,C,mid-high,good,short-term
24,mid-low,high,3,islam,no,C,mid-high,good,short-term
36,high,high,4,islam,no,A,mid-high,good,short-term
37,mid-low,mid-high,9,islam,no,C,mid-high,good,short-term
37,mid-high,mid-high,6,islam,no,C,mid-high,good,short-term
37,mid-high,mid-high,11,islam,no,A,mid-low,good,short-term
44,high,high,4,non-islam,no,B,mid-high,good,short-term
35,mid-low,mid-high,6,islam,no,B,mid-high,good,short-term
25,high,high,3,islam,no,C,mid-high,good,short-term
21,high,high,2,islam,no,B,mid-high,good,short-term
24,low,mid-low,3,islam,no,C,mid-low,good,short-term
16,mid-low,mid-high,1,islam,no,C,low,good,short-term
21,mid-high,mid-low,1,islam,no,C,low,bad,short-term
25,mid-low,high,2,islam,no,B,high,good,short-term
26,high,high,1,islam,yes,B,high,good,short-term
43,high,high,2,islam,no,A,high,good,short-term
24,high,high,1,islam,no,A,high,good,short-term
30,mid-high,high,3,non-islam,no,C,mid-high,good,short-term
30,mid-low,mid-high,3,islam,no,C,mid-high,good,short-term
26,high,high,2,islam,no,C,mid-high,good,short-term
29,mid-low,high,4,islam,no,C,mid-low,good,short-term
24,mid-high,high,4,islam,no,C,low,good,short-term
29,mid-high,mid-high,2,islam,no,C,mid-low,good,short-term
29,low,mid-low,1,islam,no,C,mid-high,good,short-term
22,high,high,1,islam,no,B,high,good,short-term
30,mid-high,mid-high,4,islam,yes,C,mid-low,good,short-term
24,high,high,1,islam,no,B,mid-high,good,short-term
25,high,high,2,islam,no,A,mid-low,good,short-term
44,high,high,5,islam,yes,A,high,good,short-term
28,mid-low,mid-high,3,islam,no,B,high,good,short-term
22,mid-high,mid-high,1,islam,no,C,mid-low,good,short-term
30,mid-low,mid-low,6,islam,yes,B,mid-high,good,short-term
25,mid-high,high,3,islam,no,B,high,good,short-term
25,high,high,2,islam,no,C,mid-high,good,short-term
33,high,high,2,islam,yes,A,high,good,short-term
33,mid-high,mid-high,4,islam,yes,B,mid-high,good,short-term
26,mid-high,mid-high,2,islam,yes,B,mid-low,good,short-term
29,mid-high,high,5,islam,no,C,mid-high,good,short-term
32,mid-high,mid-high,4,islam,no,B,low,good,short-term
30,high,high,1,islam,yes,C,mid-low,good,short-term
37,high,high,1,non-islam,no,A,high,good,short-term
31,low,mid-low,4,islam,no,C,mid-high,good,short-term
36,low,mid-low,4,islam,no,C,low,bad,short-term
36,mid-low,mid-low,7,islam,yes,B,mid-low,bad,short-term
26,mid-high,high,2,islam,yes,B,high,good,short-term
36,high,high,3,islam,no,A,high,good,short-term
28,high,high,1,islam,no,B,high,good,short-term
33,high,high,5,islam,no,C,mid-high,good,short-term
25,mid-high,high,2,islam,yes,B,high,good,short-term
31,high,high,2,non-islam,no,A,high,good,short-term
38,high,high,4,islam,yes,A,high,good,short-term
35,low,mid-low,5,islam,no,C,mid-high,good,short-term
33,high,high,3,non-islam,yes,B,high,good,short-term
30,mid-low,mid-low,2,islam,no,C,mid-low,good,short-term
20,mid-high,mid-high,2,islam,no,B,mid-low,bad,short-term
18,mid-high,mid-high,1,islam,no,B,mid-low,good,short-term
30,mid-high,mid-low,3,islam,no,C,mid-high,good,short-term
35,mid-low,mid-high,6,islam,yes,C,mid-low,good,short-term
22,mid-high,mid-high,2,islam,no,C,low,good,short-term
28,mid-low,high,7,islam,no,C,mid-high,good,short-term
21,mid-high,mid-high,1,islam,no,C,low,good,short-term
27,mid-high,high,4,islam,no,C,high,good,short-term
30,mid-high,high,3,islam,no,C,mid-high,good,short-term
25,mid-high,high,2,islam,no,C,mid-high,good,short-term
26,high,high,3,islam,no,C,mid-low,good,short-term
37,mid-low,high,5,islam,no,A,high,good,short-term
47,low,mid-high,9,islam,yes,C,mid-high,good,short-term
36,low,low,5,islam,no,C,mid-high,good,short-term
36,mid-low,mid-high,6,islam,no,B,high,good,short-term
36,high,high,3,islam,no,B,high,good,short-term
28,high,high,4,islam,no,C,high,good,short-term
21,high,high,2,islam,no,C,mid-high,good,short-term
25,high,high,2,islam,no,B,mid-high,good,short-term
30,mid-high,high,3,islam,no,C,high,good,short-term
22,mid-high,mid-high,3,islam,no,C,mid-high,good,short-term
23,high,mid-high,2,islam,yes,B,mid-high,good,short-term
36,mid-high,high,9,islam,no,C,high,good,short-term
28,high,mid-high,2,islam,no,C,mid-low,good,short-term
46,mid-low,mid-low,5,islam,no,B,high,good,short-term
47,high,high,5,islam,no,C,mid-low,good,short-term
41,low,high,5,islam,yes,B,high,good,short-term
44,high,high,5,islam,no,C,high,good,short-term
34,mid-low,mid-high,3,non-islam,no,C,mid-low,bad,short-term
37,mid-low,mid-high,6,islam,no,C,high,good,short-term
34,high,high,2,non-islam,no,A,high,good,short-term
22,mid-low,high,2,islam,no,C,mid-low,good,short-term
33,mid-low,mid-high,4,islam,no,B,mid-high,good,short-term
21,mid-high,high,3,islam,no,C,low,good,short-term
31,high,high,4,islam,yes,C,high,good,short-term
41,high,mid-high,5,islam,yes,C,high,good,short-term
30,high,mid-high,4,islam,no,C,mid-high,good,short-term
32,mid-low,high,5,islam,no,C,high,good,short-term
27,high,high,2,non-islam,yes,B,high,good,short-term
26,high,high,1,non-islam,yes,B,high,good,short-term
42,high,high,5,non-islam,no,B,high,good,short-term
24,high,high,1,islam,no,A,mid-high,good,short-term
37,high,high,6,islam,no,A,high,good,short-term
30,mid-low,mid-high,5,islam,yes,C,high,good,short-term
27,high,high,1,islam,no,A,high,good,short-term
34,mid-low,high,6,islam,no,C,mid-high,good,short-term
32,mid-high,high,5,non-islam,no,A,high,good,short-term
28,high,high,1,non-islam,yes,B,high,good,short-term
29,mid-high,mid-high,1,non-islam,yes,B,high,good,short-term
42,high,high,3,non-islam,no,B,high,good,short-term
21,mid-low,mid-low,0,non-islam,no,D,high,good,short-term
22,high,high,2,islam,no,C,high,good,short-term
36,high,high,3,non-islam,no,C,high,good,short-term
45,mid-low,mid-high,3,non-islam,yes,B,high,good,short-term
34,high,high,2,non-islam,yes,B,high,good,short-term
35,mid-low,mid-high,5,islam,no,C,mid-high,good,short-term
19,high,high,1,islam,no,B,mid-high,good,short-term
27,high,high,4,islam,no,C,mid-high,good,short-term
37,mid-low,high,4,islam,yes,B,mid-high,good,short-term
26,mid-high,mid-low,4,islam,no,C,high,good,short-term
28,low,mid-high,5,islam,no,C,high,good,short-term
31,mid-high,high,5,islam,no,A,high,good,short-term
32,mid-low,mid-low,6,islam,no,B,mid-high,good,short-term
40,mid-low,mid-low,4,non-islam,yes,B,high,good,short-term
27,mid-high,mid-high,5,islam,no,B,high,good,short-term
27,mid-low,mid-low,3,islam,no,B,mid-low,bad,short-term
37,high,high,5,non-islam,yes,B,high,good,short-term
22,high,mid-high,1,islam,no,B,mid-low,good,short-term
27,high,high,4,islam,no,A,mid-low,bad,short-term
21,high,high,1,non-islam,no,B,high,good,short-term
30,low,mid-high,2,islam,no,C,high,good,short-term
23,mid-low,mid-low,1,islam,no,B,high,good,short-term
25,mid-low,high,3,islam,no,A,mid-high,good,short-term
42,mid-low,high,6,islam,no,B,high,good,short-term
29,high,high,3,islam,no,A,high,good,short-term
33,high,high,2,islam,yes,B,high,good,short-term
33,high,high,3,islam,no,A,high,good,short-term
39,mid-high,mid-high,8,islam,yes,A,high,good,short-term
33,mid-high,mid-high,4,islam,yes,B,mid-low,good,short-term
17,mid-high,mid-high,1,islam,no,B,high,good,short-term
